"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"	"sig"	"log10Pval"	"fcpos"
"ENSG00000254389.3-RHPN1-AS1"	1.24331913948028	3.61478455140157	7.0454992866236	3.59296047161656e-08	2.02110442529274e-05	8.74462394781195	"ENSG00000254389.3-RHPN1-AS1"	TRUE	4.69441124702067	TRUE
"ENSG00000137478.15-FCHSD2"	2.89072610307398	13.8903258454214	7.03943137439034	3.65772264995431e-08	2.02143721396861e-05	8.72776126322722	"ENSG00000137478.15-FCHSD2"	TRUE	4.69433974334858	TRUE
"ENSG00000142945.13-KIF2C"	9.27259866811552	77.9340096858982	7.03036840049205	3.75665403804783e-08	2.04031653194043e-05	8.7025683952639	"ENSG00000142945.13-KIF2C"	TRUE	4.69030245149017	TRUE
"ENSG00000053371.12-AKR7A2"	16.5822374256876	52.7462117864271	7.00300551500353	4.0720602233592e-08	2.17413506942438e-05	8.62645617233428	"ENSG00000053371.12-AKR7A2"	TRUE	4.66271347861058	TRUE
"ENSG00000108786.10-HSD17B1"	1.36095509754149	2.13154616464266	6.99442696912242	4.17635139284944e-08	2.1926540871025e-05	8.60257883267968	"ENSG00000108786.10-HSD17B1"	TRUE	4.65902987717426	TRUE
"ENSG00000119514.7-GALNT12"	12.4112557849509	27.4457325070151	6.97391680055722	4.43676970056629e-08	2.29119151373014e-05	8.54546177675592	"ENSG00000119514.7-GALNT12"	TRUE	4.63993860793849	TRUE
"ENSG00000187535.14-IFT140"	19.7265906023124	49.9746309789495	6.93497903034668	4.97717286911419e-08	2.52880520241881e-05	8.43691401398654	"ENSG00000187535.14-IFT140"	TRUE	4.59708462370934	TRUE
"ENSG00000108829.10-LRRC59"	-13.0242506931253	89.1503050297437	-6.92742129612035	5.08953161927128e-08	2.54484659585182e-05	8.41582813264116	"ENSG00000108829.10-LRRC59"	TRUE	4.59433839194531	FALSE
"ENSG00000110880.10-CORO1C"	-23.6827052510069	98.6082130580469	-6.91609558539742	5.26272197235553e-08	2.59032820079955e-05	8.38421944479981	"ENSG00000110880.10-CORO1C"	TRUE	4.58664520627936	FALSE
"ENSG00000137497.17-NUMA1"	32.7943728724533	158.194330921314	6.9097606550946	5.3621771892902e-08	2.59867605599739e-05	8.36653408146882	"ENSG00000137497.17-NUMA1"	TRUE	4.58524785511278	TRUE
"ENSG00000225151.10-GOLGA2P7"	38.2716909782617	89.8165737719214	6.86245261454061	6.16745538347185e-08	2.94365169749616e-05	8.23434340776924	"ENSG00000225151.10-GOLGA2P7"	TRUE	4.53111357843924	TRUE
"ENSG00000182511.12-FES"	3.59710060780364	5.72026758011181	6.81658909226982	7.064668324832e-08	3.31174993573793e-05	8.1059908886821	"ENSG00000182511.12-FES"	TRUE	4.47994246344186	TRUE
"ENSG00000152092.16-ASTN1"	7.65365296493761	14.4839856860286	6.81258725088596	7.14894751373541e-08	3.31174993573793e-05	8.09478234099725	"ENSG00000152092.16-ASTN1"	TRUE	4.47994246344186	TRUE
